2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|313|Accounting Information Systems|3|FALL&SPRNG|Covers the use of accounting systems for the collection, organization, analysis and reporting of accounting data. Topics include: internal controls, documentation of accounting systems, transaction processing cycles, auditing information technology, e-commerce, computer and information systems security and integration of business functions in the accounting process. |ACTG 303   ||1|Accounting, B.B.A.,Accounting, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|490|Special Studies in Accounting|1.00 - 6.00 each semester|FALL&SPRNG|Designed to give capable students in accounting an opportunity to do independent study under faculty supervision. Admission only by recommendation of the instructor and permission of the director. |||1|
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|377|Federal Income Tax Accounting|3|FALLSPRSUM|Designed to introduce students to the federal income tax system, including individual and business entity taxation. Topics include income, exclusions, deductions and property transactions. Also facilitates development of research skills.  |ACTG 302 or permission of the department head.  |ACTG 302 or permission of the department head.  |1|Accounting, B.B.A.,Accounting, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|499A|Honors|1|FALL&SPRNG||||1|
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|499B|Honors Thesis|3|FALL&SPRNG||||1|
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|410|Auditing|3|FALL&SPRNG|A study of techniques available for gathering, summarizing, analyzing and interpreting the data presented in financial statements and procedures used in verifying the fairness of the information. Also emphasizes ethical and legal aspects and considerations. |"ACTG 313, ACTG 303 and ACTG 344 with grades of ""C-"" or better.  "||1|Accounting, B.B.A.,Accounting, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|475|Accounting Decision Making and Control|3|FALL&SPRNG|The study of cost accounting concepts and information used by business organizations to make strategic, organizational and operational decisions. Topics include the role of planning and control in attaining organizational goals and objectives; the relationship among cost structure, cost behavior, and operating income; traditional and activity-based costing approaches to product costing, differential analysis in decision making; and ethical issues for accountants. |"ACTG 343  with a grade of ""C-"" or better and ACTG 304 .  "|ACTG 304 .  |1|Accounting, B.B.A.,Accounting, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|344|Corporate Financial Reporting II|3|FALL&SPRNG|Continues the development of a theoretical framework to read, use, analyze, interpret, explain and critically evaluate financial reporting by businesses. Selected topics include financial instruments, leases, pensions, deferred taxes, stockholders' equity and other corporate reporting issues. |"ACTG 343 with a grade of ""C-"" or better.  "||1|Accounting, B.B.A.,Accounting, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|499C|Honors|2|FALL&SPRNG||||1|
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|445|Selected Accounting and Reporting Topics|3||Focuses on the development and use of financial information as it relates to business combinations, governmental and public not-for-profit entities, and transactions and statements denominated in foreign currencies. In the context of the global accounting environment, students critically evaluate U.S. generally accepted accounting principles as they pertain to the topics covered. |"ACTG 343 with a grade of ""C-"" or better is the prerequisite.  "||0|
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|343|Corporate Financial Report I|3|FALL&SPRNG|Provides a theoretical framework to explain and critically evaluate financial reporting by businesses. In addition to studying the authoritative standards for preparing financial statements, students develop the ability to read, use, analyze and interpret financial statements. Students gain an understanding that managers can shape the financial information communicated to investors and creditors. |ACTG 302 or permission of the department head.  |ACTG 302 or permission of the department head.  |1|Accounting, B.B.A.,Accounting, B.B.A.,Finance, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|483|International Accounting and Financial Reporting|3|SPRING|Designed to develop a fundamental knowledge of the assumptions, environmental considerations and techniques underlying the collection and reporting of financial information on an international scale. |COB 300 is the prerequisite. Open to International Business Majors Only.  ||1|International Business, General Concentration, B.B.A.,International Business, Finance Concentration, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|440|Advanced Information Technology for Accountants|3|FALL|This course is offered only for accounting majors seeking a minor in CIS. Topics include legacy systems, the systems development life cycle, telecommunications, distributed processing, networking and information security, taught from an accounting perspective. |"ACTG 313 with a grade of ""C-"" or better and declared CIS minor are the prerequisites.  "||0|
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|492|Special Studies in Tax|1.00 - 3.00||Designed to give capable students in accounting an opportunity to do independent study under faculty supervision in the area of tax. |Recommendation of the instructor and permission of the director.  ||1|
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|493|Special Studies in Cost|1.00 - 3.00||Designed to give capable students in accounting an opportunity to do independent study under faculty supervision in the area of cost. |Recommendation of the instructor and permission of the director.  ||1|
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|302|Introduction to the Profession: Role of Accountants|1|FALL|This class relies heavily on discussions with practicing accountants in public accounting, industry and government. Topics include career preparation and the role of accountants in business and capital markets. Written assignments are used to enhance communication skills. |"Completion of both COB 241 and COB 242 with grades of ""B"" or better in each and COB 300.  "|COB 300.  |1|Accounting, B.B.A.,Accounting, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|303|Basic Spreadsheet Skills for Accountants|1|FALL&SPRNG|This class provides students with hands-on learning and practice with basic Excel skills necessary in the workplace. Topics include creating and printing professional documents, navigating through workbooks, creating and editing formulas, using basic logical and statistical functions, and creating charts. |ACTG 302 or permission of the department head.  |ACTG 302 or permission of the department head.  |1|Accounting, B.B.A.,Accounting, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Anthropology|ANTH|494E|Field Tech in Archeology|1|SUMMER||||1|
2018-19 Undergraduate Catalog (DRAFT)|Italian|ITAL|335F|Intro to Ital Lit-Florence|3|FALLORSPRG||||1|
2018-19 Undergraduate Catalog (DRAFT)|Accounting|ACTG|304|Advanced Spreadsheet Skills for Analysis and Reporting Accounting Information|1|FALL&SPRNG|This class provides students with hands-on learning and practice with advanced Excel skills. This class focuses on preparing students to become Microsoft Certified Application Specialists in Excel. Topics include customizing charts, using advanced financial, logical, and statistical functions, pivot tables and pivot charts, evaluation of formulas, and collaboration of workbooks. |"Completion of ACTG 303 with a grade of ""C-"" or better.  "||1|Accounting, B.B.A.,Accounting, B.B.A.
2018-19 Undergraduate Catalog (DRAFT)|Applied Music|MUAP|323|Bassoon Applied|2.00 - 3.00|||Music Majors  ||1|
2018-19 Undergraduate Catalog (DRAFT)|Applied Music|MUAP|321|Oboe Applied|2.00 - 3.00|||Music Majors  ||1|
